jp_name,n_routes,daily_stop_events,min_transfers_yamanote,max_route_btw_cent,mean_route_degree_cent,mean_route_btw_cent,stop_lat,stop_lon,km_to_yamanote,ward_jp,pop_800m_catchment,ridership_2019,log_ridership,station_key
上本郷,1.0,492.0,2.0,0.0,0.0256410256410256,0.0,35.7896962,139.9162315,14.619844968861186,Outside-23,0.0,7107.0,8.868976189274543,Kamihongō
上板橋,1.0,821.0,1.0,0.0,0.0897435897435897,0.0,35.76362,139.67621,4.886952640645983,板橋区,78517.0,51929.0,10.857651936838364,Kami-itabashi
上町,1.0,695.0,2.0,0.0001538865175228,0.0256410256410256,0.0001538865175228,35.643417,139.646617,5.215122449202586,世田谷区,80846.0,10587.0,9.267476563346992,Kamimachi
上石神井,1.0,1016.0,1.0,0.0,0.0384615384615384,0.0,35.72623,139.59208,10.156033480416353,練馬区,60974.0,44893.0,10.71205943451149,Kami-Shakujii
上野,8.0,5446.0,0.0,0.2422528336324923,0.3076923076923077,0.0599097577307826,35.71351,139.77676,0.0,台東区,45671.0,586612.0,13.282120596889197,Ueno
上野広小路,1.0,1148.0,1.0,0.0452863952870408,0.3461538461538461,0.0452863952870408,35.707765,139.773011,0.1550639288067118,台東区,42924.0,24123.0,10.090962474570878,Ueno-hirokoji
上野御徒町,1.0,756.0,1.0,0.0503284087990258,0.3333333333333333,0.0503284087990258,35.707949,139.773351,0.14077931672476,台東区,48738.0,59753.0,10.997991413159694,Ueno-okachimachi
上野毛,1.0,731.0,2.0,0.0032074050217671,0.0769230769230769,0.0032074050217671,35.611844,139.639125,7.325635427748347,世田谷区,52014.0,22572.0,10.024509780783578,Kaminoge
下丸子,1.0,706.0,2.0,0.0014251303403327,0.0512820512820512,0.0014251303403327,35.571169,139.685759,6.623558231386495,大田区,60893.0,36829.0,10.51406800943911,Shimomaruko
下井草,1.0,492.0,1.0,0.0,0.0384615384615384,0.0,35.72387,139.62432,7.27444338677229,杉並区,70248.0,24921.0,10.123506226502814,Shimo-Igusa
下北沢,2.0,2565.0,1.0,0.0295759923537318,0.1794871794871795,0.0295759923537318,35.66165,139.66757,3.091850960007311,世田谷区,71617.0,237319.0,12.37716472037258,Shimo-Kitazawa
下板橋,1.0,598.0,1.0,0.0,0.0897435897435897,0.0,35.74507,139.71562,1.738910557800471,豊島区,73041.0,16554.0,9.714443449981347,Shimo-itabashi
下神明,1.0,730.0,2.0,0.0032074050217671,0.0769230769230769,0.0032074050217671,35.608815,139.726303,1.217604710177148,品川区,67194.0,8702.0,9.071423072789514,Shimo-shimmei
下落合,1.0,492.0,1.0,0.0,0.0384615384615384,0.0,35.71584,139.69515,0.8489553353323313,新宿区,93757.0,12435.0,9.428350771178645,Shimo-Ochiai
下赤塚,1.0,596.0,1.0,0.0,0.0897435897435897,0.0,35.77048,139.64485,7.478751145710217,板橋区,62479.0,16287.0,9.69818391935025,Shimo-akatsuka
下高井戸,2.0,1309.0,1.0,0.0343543458428573,0.1089743589743589,0.0172541161801901,35.66611,139.64203,5.447674266047506,世田谷区,68473.0,64731.0,11.078010948636775,Shimo-takaido
不動前,1.0,700.0,1.0,0.0211454066109251,0.1025641025641025,0.0211454066109251,35.625773,139.713598,0.8813554248916997,品川区,81630.0,31573.0,10.360089276091673,Fudō-mae
世田谷,1.0,674.0,2.0,0.0001538865175228,0.0256410256410256,0.0001538865175228,35.643463,139.650714,4.862838115597573,世田谷区,79220.0,9119.0,9.118225083068378,Setagaya
世田谷代田,1.0,516.0,1.0,0.0032201422189731,0.1538461538461538,0.0032201422189731,35.65808,139.66101,3.657274350192208,世田谷区,76710.0,9348.0,9.143024664691316,Setagaya-Daita
両国,2.0,1632.0,1.0,0.0503284087990258,0.3333333333333333,0.0503284087990258,35.696807,139.797469,1.8514298361613468,墨田区,73649.0,115790.0,11.659542120893406,Ryogoku
中井,2.0,1280.0,1.0,0.0503284087990258,0.1858974358974359,0.0251642043995129,35.7144925,139.68677300000002,1.5423674826386389,新宿区,86308.0,55114.0,10.917177190397416,Nakai
中川,1.0,593.0,2.0,0.010293848606791,0.0512820512820512,0.010293848606791,35.5629066,139.5699517,15.336567277029864,Outside-23,0.0,18872.0,9.84548760823814,Nakagawa
中延,2.0,1366.0,1.0,0.0286529346993004,0.1602564102564102,0.0159301698605337,35.6054735,139.71314,2.090262953592853,品川区,89493.0,56450.0,10.941128284212754,Nakanobu
中村橋,1.0,719.0,1.0,0.0054994731144995,0.1282051282051282,0.0054994731144995,35.7368,139.63777,6.448386649513504,練馬区,75847.0,41021.0,10.62186378714185,Nakamurabashi
中板橋,1.0,598.0,1.0,0.0,0.0897435897435897,0.0,35.75628,139.69438,3.292121723568484,板橋区,22534.0,29052.0,10.276877027171809,Naka-itabashi
中目黒,2.0,2328.0,1.0,0.0812066517220394,0.2243589743589743,0.0506140579554181,35.64431,139.699116,1.000494799257546,目黒区,64439.0,196777.0,12.18983146873359,Naka-meguro
中野,3.0,3212.0,1.0,0.031915553902728,0.2606837606837606,0.0240485425878969,35.70573,139.66594,3.1340170201507767,中野区,88758.0,301870.0,12.617755052783586,Nakano
中野坂上,3.0,2506.0,1.0,0.0503284087990258,0.2179487179487179,0.0251278115345857,35.697352333333335,139.68243633333333,1.6389175475273663,中野区,105728.0,119753.0,11.693194917638053,Nakano-sakaue
中野富士見町,1.0,658.0,2.0,0.0,0.0256410256410256,0.0,35.69064,139.6672426,2.9930898328194813,中野区,96243.0,20202.0,9.913586387213542,Nakano-fujimicho
中野島,1.0,548.0,2.0,0.0218068409560354,0.1025641025641025,0.0218068409560354,35.63009,139.55087,13.958812958957203,Outside-23,0.0,29994.0,10.308785980087194,Nakanoshima
中野新橋,1.0,656.0,2.0,0.0,0.0256410256410256,0.0,35.691685,139.674001,2.3881537852258785,中野区,108345.0,20884.0,9.946786476931276,Nakano-Shimbashi
乃木坂,1.0,897.0,2.0,0.025633044988058,0.141025641025641,0.025633044988058,35.666592,139.726229,2.1966365858782577,港区,41102.0,42374.0,10.65431384468275,Nogizaka
久が原,1.0,756.0,1.0,0.0012100513866994,0.0641025641025641,0.0012100513866994,35.579837,139.685347,5.890469279552378,大田区,52504.0,16512.0,9.711903228462988,Kugahara
久地,1.0,611.0,2.0,0.0218068409560354,0.1025641025641025,0.0218068409560354,35.60991,139.59317,11.152490502650467,Outside-23,0.0,28648.0,10.262873817519765,Kuji
久我山,1.0,1128.0,1.0,0.0295759923537318,0.1794871794871795,0.0295759923537318,35.68814,139.59932,9.129732868748828,杉並区,44450.0,40879.0,10.618396224877586,Kugayama
九品仏,1.0,731.0,2.0,0.0032074050217671,0.0769230769230769,0.0032074050217671,35.605339,139.661468,5.814997939055916,世田谷区,53651.0,13337.0,9.498372383192253,Kuhombutsu
九段下,3.0,2699.0,1.0,0.0334927687565924,0.2264957264957265,0.0194900151067821,35.695712666666665,139.75137333333333,1.8007287428206449,千代田区,24210.0,292436.0,12.586004537840068,Kudanshita
亀戸,2.0,1326.0,1.0,0.031915553902728,0.1474358974358974,0.0160886592661544,35.69713,139.82648,4.820046893783984,江東区,87137.0,143553.0,11.874466550016445,Kameido
亀戸水神,1.0,452.0,2.0,0.0002617646295807,0.0256410256410256,0.0002617646295807,35.69994,139.83339,5.331226674632965,江東区,118880.0,4352.0,8.378620541552298,Kameidosuijin
亀有,1.0,556.0,2.0,0.0266719676701535,0.0512820512820512,0.0266719676701535,35.76629,139.84731,8.019505513241715,葛飾区,64497.0,85708.0,11.358713116574837,Kameari
二子新地,2.0,730.0,1.0,0.0465156449618751,0.1153846153846153,0.0248615249918211,35.607133,139.622419,8.924156879233376,Outside-23,10129.0,21734.0,9.986679143422892,Futako-shinchi
二子玉川,2.0,1941.0,1.0,0.0465156449618751,0.1153846153846153,0.0248615249918211,35.612226,139.62721249999998,8.337760959374323,世田谷区,28398.0,163140.0,12.002370136540334,Futako-tamagawa
五反田,3.0,2434.0,0.0,0.2422528336324923,0.3034188034188034,0.0907052732394973,35.626097,139.723952,0.0514878764740039,品川区,84598.0,468629.0,13.057568823493163,Gotanda
五反野,1.0,617.0,2.0,0.0320053421544036,0.1153846153846153,0.0320053421544036,35.7659,139.80963,5.377268420531332,足立区,73382.0,36756.0,10.512083962693172,Gotanno
井の頭公園,1.0,637.0,1.0,0.0295759923537318,0.1794871794871795,0.0295759923537318,35.6973,139.58312,10.57029596754605,Outside-23,55494.0,6814.0,8.826881344130634,Inokashira-kōen
井荻,1.0,492.0,1.0,0.0,0.0384615384615384,0.0,35.72454,139.61465,8.147637960540793,杉並区,60875.0,19818.0,9.894396352524348,Iogi
京急川崎,2.0,1649.0,1.0,0.0258911023616905,0.0641025641025641,0.0129455511808452,35.532467,139.700709,10.010051687941072,Outside-23,61.0,132524.0,11.794526585856008,Keikyū Kawasaki
京急蒲田,2.0,2239.0,1.0,0.0258911023616905,0.1089743589743589,0.0257660640013581,35.560659,139.723725,6.571565060127197,大田区,84732.0,65123.0,11.084048423851405,Keikyū Kamata
京急鶴見,1.0,699.0,1.0,0.0258911023616905,0.1153846153846153,0.0258911023616905,35.507201,139.678004,13.30581755576896,Outside-23,0.0,33348.0,10.414783065886716,Keikyū Tsurumi
京成上野,3.0,893.0,1.0,0.0293823137877515,0.1239316239316239,0.0186857939741736,35.7109406,139.7735044,0.4099075816918202,台東区,42584.0,50235.0,10.824487180138018,Keisei-Ueno
京成小岩,1.0,656.0,1.0,0.0293823137877515,0.141025641025641,0.0293823137877515,35.74201,139.8833,9.791427164704182,江戸川区,72459.0,18803.0,9.841824892144022,Keisei-Koiwa
